Author_Handle,UTC_Time,Tweet_Content,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Replying_to,crypto,text_clean,sentiment_score,daily_sentiment_avg,price
IOV_OWL,2023-02-04,"Imagine taking shots at Crypto Eri saying she needs clout, attention, clicks, or that she hasn’t put in the work. Eri is one of the realest researchers in crypto and a top steward for this community. Tired of this shit. Want $XRP to grow in Value? Build something with it",115,119,1296,108723,3,False,xrp,imagine taking shots crypto eri saying needs clout attention clicks put work eri one realest researchers crypto top steward community tired shit want xrp grow value build something,-0.4588,-0.028450000000000003,0.4121338298176891
JoelKatz,2023-02-04,I'm taking XRP private at $420. Funding secured. ᵀʰⁱˢ ⁱˢ ᵃ ʲᵒᵏᵉ,825,890,5739,1289460,101,False,xrp,taking xrp private funding secured,0.4019,-0.028450000000000003,0.4121338298176891
jeff_xrp,2023-02-06,Just a friendly reminder that XRP is the ONLY crypto to ever eclipse Bitcoin. 30 Dec 2017. Know what you hold. #XRP,101,376,1356,178261,60,False,xrp,friendly reminder xrp crypto ever eclipse bitcoin dec know hold xrp,0.4939,0.41695000000000004,0.3937656294467119
FilanLaw,2023-02-06,"#XRPCommunity #XRP @JohnEDeaton1 will be filing a Motion to File an Amicus Brief in Zakinov v. Ripple in California. There, the plaintiffs claim that Ripple sold XRP as an unregistered security. They are asking the court to certify a class of ALL XRP Holders who purchased 1/5",115,387,1729,425640,16,False,xrp,xrpcommunity xrp filing motion file amicus brief zakinov v ripple california plaintiffs claim ripple sold xrp unregistered security asking court certify class xrp holders purchased,0.34,0.41695000000000004,0.3937656294467119
digitalassetbuy,2023-02-08,Now that the SEC / ETH vs. @ripple / XRP suit is coming to an end I think it's important to remind Congress and everyone else why an American company and XRP holders the SEC is supposed to protect have been harmed continuously for over two years. New day coming any time soon????,76,459,1835,232461,33,False,xrp,sec eth vs xrp suit coming end think important remind congress everyone else american company xrp holders sec supposed protect harmed continuously two years new day coming time soon,0.0772,-0.31155,0.3986931996846012
BCBacker,2023-02-08,"I’ve been sick all day. I recorded a 27-minute XRP video. But after editing it, and listening to myself, I can just hear a guy who is exhausted. Not myself. Will try again tomorrow. Going to rest. 👍🏻",139,19,1636,85085,1,False,xrp,sick day recorded minute xrp video editing listening hear guy exhausted try tomorrow going rest,-0.7003,-0.31155,0.3986931996846012
xspectDS,2023-02-09,"Holy sh＊t !!! According to John Deaton, the #SEC Commissioner Hester Peirce has acknowledged that her colleagues at the SEC were misleading with regard to the Howey Test for XRP.",34,263,1333,115188,7,False,xrp,holy sh according john deaton sec commissioner hester peirce acknowledged colleagues sec misleading regard howey test xrp,-0.4019,-0.4019,0.3832139446465286
digitalassetbuy,2023-02-13,"If XRP now and going forward is declared by the court to not be a security, it will be the ONLY digital asset with real regulatory clarity. Bitcoin doesn't even have that. Let that sink in. What happens when that sinks in with investors? ...if they can get it. Gary won't stop suing regardless of a good outcome for @ripple Remember the Judge herself said they don't have a faithful allegiance to the law. It's quite possible that the only path to clarity is a lawsuit until Congress can get their act together which may be never.",148,244,1648,257886,17,False,xrp,xrp going forward declared court security digital asset real regulatory clarity bitcoin even let sink happens sinks investors get gary stop suing regardless good outcome remember judge said faithful allegiance law quite possible path clarity lawsuit congress get act together may never,0.8797,0.8797,0.3720546283535058
Wenmoonlaw,2023-02-14,"There are positives and negatives in everything. Take for example this recent SEC assault on crypto. Negative: all of it. Positive: Ripple has a three year head start on everyone else towards a resolution. Even XRP haters are going to start hoping and praying that Ripple wins. The destiny of many of these actions will lie in the Ripple defense. If there is one company in this space that I would want to have the first shot at making case law, it’s Ripple.",76,337,1508,262698,7,False,xrp,positives negatives everything take example recent sec assault crypto negative positive ripple three year head start everyone else towards resolution even xrp haters going start hoping praying ripple wins destiny many actions lie ripple defense one company space would want first shot making case law ripple,0.7269,0.7875,0.3832279512992212
Ripple,2023-02-14,"We are committing $1M in XRP to support NGOs providing earthquake relief in Turkey and Syria - through a relief fund on @crypto4charity_ and are donating $250k USD in XRP and will also match 2:1 all crypto donations here, up to $750k USD. https://www.cryptoforcharity.io/cause-funds/ripple-impact-earthquake-relief",271,999,4009,741686,27,False,xrp,committing xrp support ngos providing earthquake relief turkey syria relief fund donating k usd xrp also match crypto donations k usd,0.8481,0.7875,0.3832279512992212
IOV_OWL,2023-02-15,What happens if $XRP breaks 22 months of resistance?,281,139,1282,201306,10,False,xrp,happens xrp breaks months resistance,0.0,0.03423333333333333,0.401361856233086
FilanLaw,2023-02-15,#XRPCommunity #SECGov v. #Ripple #XRP BREAKING: Roslyn Layton has filed a Motion to Intervene to petition the Court for access to the Hinman Speech Documents. https://www.dropbox.com/s/kgrq9s0hwsuho02/Roslyn%20Layton%20Motion%20to%20Intervvene.pdf?dl=0,179,965,3251,427712,24,False,xrp,xrpcommunity secgov v ripple xrp breaking roslyn layton filed motion intervene petition court access hinman speech documents,0.0,0.03423333333333333,0.401361856233086
WatcherGuru,2023-02-15,JUST IN: Ripple donates $1 million in $XRP to support victims of the Turkey-Syria earthquake.,166,649,4246,494283,9,False,xrp,ripple donates million xrp support victims turkey syria earthquake,0.1027,0.03423333333333333,0.401361856233086
RippleArchive,2023-02-16,🚨👀BREAKING👀🚨 @Forbes immediately pulls down @RoslynLayton's article critical of the SEC. #XRP #Ripple https://www.forbes.com/sites/roslynlayton/2023/02/15/why-the-sec-treats-ripple-and-ethereum-differently/?sh=1dc6e3a82623,85,540,1414,128732,19,False,xrp,breaking immediately pulls article critical sec xrp ripple,-0.3182,-0.3291,0.3869228608316964
FilanLaw,2023-02-16,"#XRPCommunity #SECGov v. #Ripple #XRP I’m hearing some people are having difficulty reading, on mobile devices, the Roslyn Layton Motion to Intervene. Here are image files of the motion.",101,567,2079,217550,27,False,xrp,xrpcommunity secgov v ripple xrp hearing people difficulty reading mobile devices roslyn layton motion intervene image files motion,-0.34,-0.3291,0.3869228608316964
_Crypto_Barbie,2023-02-19,"Sooo this means XRP is already classified as a currency from the SEC, right? 🧐 Source: https://www.sec.gov/Archives/edgar/data/1048702/000119312521047532/d119950dex9928p7.htm",161,701,2484,331820,78,False,xrp,sooo means xrp already classified currency sec right source,0.0,-0.26335,0.3856060724873099
JohnEDeaton1,2023-02-19,The SEC’s claims are so stupidly outrageous that it argues a person who acquires #XRP in Japan is in a common enterprise w/@Ripple “and all other #XRP holders” and #XRP is a security - even though Japan’s own regulator says its not. #XRP is the 2nd most popular crypto in Japan.,61,413,1810,199962,6,False,xrp,sec claims stupidly outrageous argues person acquires xrp japan common enterprise w xrp holders xrp security even though japan regulator says xrp nd popular crypto japan,-0.5267,-0.26335,0.3856060724873099
WhaleFUD,2023-02-20,"BREAKING: ​Ripple expands into UAE, payments provider will use XRP",85,490,2314,201458,13,False,xrp,breaking ripple expands uae payments provider use xrp,0.1027,0.05135,0.3976747252183047
WatcherGuru,2023-02-20,JUST IN: $XRP surpasses a $20 billion market cap.,149,458,2619,378156,7,False,xrp,xrp surpasses billion market cap,0.0,0.05135,0.3976747252183047
GuerillaXrp,2023-02-22,@TheInsiderPaper,7,132,1503,93711,24,True,xrp,,0.0,0.3062,0.3953586519644791
FilanLaw,2023-02-22,"#XRPCommunity #SECGov v. #Ripple #XRP Dr. Roslyn Layton has filed an Amended Motion to Intervene to petition the Court for access to the Hinman Speech Documents. Dr. Layton's original request suggested that the SEC had offered the Hinman Speech Documents in support of its own summary judgment motion, when that was not the case.",90,607,2347,404425,20,False,xrp,xrpcommunity secgov v ripple xrp dr roslyn layton filed amended motion intervene petition court access hinman speech documents dr layton original request suggested sec offered hinman speech documents support summary judgment motion case,0.6124,0.3062,0.3953586519644791
stedas,2023-02-24,$50 million under 4 sec for 30 cents Possible with $XRP #fintech #crypto 👉http://stedas.hr/ripple,46,227,1826,98192,7,False,xrp,million sec cents possible xrp fintech crypto,0.0,0.0,0.3790953257370455
FilanLaw,2023-02-25,#XRPCommunity #SECGov v. #Ripple #XRP The California plaintiffs have filed a Brief in Opposition to @JohnEDeaton1’s Motion to File an Amicus Brief in Zakinov v. Ripple. @JohnEDeaton1 has officially taken up residence in the California attorneys’ heads. https://www.dropbox.com/s/p61de2bevn9am58/California%20Plaintiff%E2%80%99s%20Opposition%20to%20John%20Deaton%20Motion%20to%20File%20Amicus%20Brief%20in%20Zakinov%20Case.pdf?dl=0,78,331,2391,212765,6,False,xrp,xrpcommunity secgov v ripple xrp california plaintiffs filed brief opposition motion file amicus brief zakinov v ripple officially taken residence california attorneys heads,0.0,0.0,0.378689319605292
FilanLaw,2023-02-26,"#XRPCommunity #XRP from @ss_friedman “Europe is clearly outpacing the U.S. by establishing holistic regulatory frameworks for the cryptoasset industry,” said Susan Friedman, international policy counsel at Ripple, a digital currency firm that’s mounting a legal challenge against an enforcement action brought by the U.S. Securities and Exchange Commission “We fully expect Europe to become a natural hub for responsible participants going forward.”",44,294,1255,195003,6,False,xrp,xrpcommunity xrp europe clearly outpacing u establishing holistic regulatory frameworks cryptoasset industry said susan friedman international policy counsel ripple digital currency firm mounting legal challenge enforcement action brought u securities exchange commission fully expect europe become natural hub responsible participants going forward,0.8591,0.5307,0.3780094713017035
WatcherGuru,2023-02-26,Top 10 cryptocurrencies by market cap (excluding stablecoins) 1. #Bitcoin $449B 2. #Ethereum $194B 3. #BNB $48.3B 4. #XRP $19.3B 5. #Cardano $12.7B 6. #Polygon $11.5B 7. #Dogecoin $11.3B 8. #Solana $8.6B 9. #Polkadot $7.9B 10. #ShibaInu $7.4B,503,996,4523,602637,73,False,xrp,top cryptocurrencies market cap excluding stablecoins bitcoin b ethereum b bnb b xrp b cardano b polygon b dogecoin b solana b polkadot b shibainu b,0.2023,0.5307,0.3780094713017035
CryptoWendyO,2023-02-27,The SEC attack against @Ripple wasn’t to protect retail it was to harm retail and trick you into thinking you need protection The basically fudded your $XRP bags and harmed holders financially for their benefit,125,260,1719,153999,5,False,xrp,sec attack protect retail harm retail trick thinking need protection basically fudded xrp bags harmed holders financially benefit,-0.6486,-0.6486,0.3793366092044523
cowboycrypto313,2023-02-28,"“Friction will be, you’ll have to sell dollars to buy #XRP, then sell XRP to buy Peso, or you can interpose any Bridge Currency. One of the most significant opportunities for Stable Vale Tokens...is maybe what we can call it as a Bridge Currency for Cross-Border.” ~@GaryGensler",28,134,5330,99309,20,False,xrp,friction sell dollars buy xrp sell xrp buy peso interpose bridge currency one significant opportunities stable vale tokens maybe call bridge currency cross border,0.6808,0.5269666666666667,0.3784078089404583
LBRYcom,2023-02-28,"By far the best chance for cryptocurrency in the United States is Ripple. There are other crypto players in the US that could be playing offense, but aren't. This means it's basically all on $XRP to save us all.",222,1351,5442,360860,25,False,xrp,far best chance cryptocurrency united states ripple crypto players us could playing offense means basically xrp save us,0.9001,0.5269666666666667,0.3784078089404583
UpholdInc,2023-02-28,💎💎💎💎 💎💎💎 💎💎 🤲 How many of our followers are long-term $XRP hodlers?,212,127,2074,119310,6,False,xrp,many followers long term xrp hodlers,0.0,0.5269666666666667,0.3784078089404583
XRP_Productions,2023-03-01,BREAKING NEWS! 😮 @UpholdInc officially reports that they have RELISTED #XRP! 💥💥💥 HUGE!!!!! 💥💥💥,305,414,2471,233299,6,False,xrp,breaking news officially reports relisted xrp huge,0.3182,-0.0689,0.3842122173302225
UpholdInc,2023-03-01,#relistXRP? #XRP is listed &amp; available NOW on Uphold 😎,231,734,3130,171041,12,False,xrp,relistxrp xrp listed amp available uphold,0.0,-0.0689,0.3842122173302225
WatcherGuru,2023-03-01,"JUST IN: $XRP surpasses 4,600,000 total wallet addresses.",190,388,2236,377151,14,False,xrp,xrp surpasses total wallet addresses,0.0,-0.0689,0.3842122173302225
